geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0001525	angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0001525	423	47	14.953196861754892	3.1431405895691613	1.9805268536288168e-12	1.6834478255844942e-9	94;133;284;290;301;347;857;1116;1950;2246;2247;2277;2296;3200;3202;3204;3728;3952;3953;4162;4223;4240;4881;5140;5154;5168;5175;5468;5764;6376;6422;8434;10411;23462;51129;51162;54538;54922;55273;55742;56999;57381;64102;79812;84870;126393;641700	ENSG00000138685;ENSG00000122707;ENSG00000105538;ENSG00000167772;ENSG00000165197;ENSG00000169418;ENSG00000054598;ENSG00000006210;ENSG00000154133;ENSG00000079337;ENSG00000140545;ENSG00000174697;ENSG00000166292;ENSG00000104332;ENSG00000076706;ENSG00000261371;ENSG00000164683;ENSG00000173269;ENSG00000197461;ENSG00000197702;ENSG00000163638;ENSG00000154188;ENSG00000172889;ENSG00000249751;ENSG00000126785;ENSG00000146374;ENSG00000105974;ENSG00000139567;ENSG00000148926;ENSG00000105894;ENSG00000106004;ENSG00000000005;ENSG00000105997;ENSG00000004776;ENSG00000113578;ENSG00000136960;ENSG00000173801;ENSG00000122592;ENSG00000132170;ENSG00000152270;ENSG00000138798;ENSG00000189058;ENSG00000106511;ENSG00000116678;ENSG00000135046;ENSG00000166825;ENSG00000133048
GO:1901342	regulation of vasculature development	http://amigo.geneontology.org/amigo/term/GO:1901342	271	35	9.579944088736585	3.6534659989457037	2.4418689292815543e-11	1.0377942949446606e-8	94;133;301;1116;2246;2247;2277;2296;3202;3728;3815;3952;4223;4881;5140;5154;5168;5468;5764;5906;6376;6422;6648;7498;8434;10411;23462;51129;55273;56999;57381;64102;79812;126393;641700	ENSG00000138685;ENSG00000122707;ENSG00000167772;ENSG00000165197;ENSG00000169418;ENSG00000054598;ENSG00000006210;ENSG00000079337;ENSG00000174697;ENSG00000166292;ENSG00000116473;ENSG00000158125;ENSG00000104332;ENSG00000164683;ENSG00000173269;ENSG00000197461;ENSG00000112096;ENSG00000285441;ENSG00000163638;ENSG00000249751;ENSG00000126785;ENSG00000139567;ENSG00000148926;ENSG00000105894;ENSG00000106004;ENSG00000000005;ENSG00000004776;ENSG00000113578;ENSG00000136960;ENSG00000173801;ENSG00000132170;ENSG00000152270;ENSG00000157404;ENSG00000106511;ENSG00000135046;ENSG00000133048
GO:0031589	cell-substrate adhesion	http://amigo.geneontology.org/amigo/term/GO:0031589	295	29	10.428352421318424	2.7808803182289865	5.92618514483334e-7	1.5769307755292283e-4	94;284;347;604;948;2196;2824;3204;3679;3728;4241;5175;5764;6366;6376;6422;7450;8322;9647;10395;10562;10580;10894;11170;55742;56477;56999;79812;133584	ENSG00000006210;ENSG00000100034;ENSG00000168309;ENSG00000135424;ENSG00000086570;ENSG00000110799;ENSG00000135218;ENSG00000104332;ENSG00000163975;ENSG00000261371;ENSG00000174804;ENSG00000133800;ENSG00000173269;ENSG00000197702;ENSG00000163638;ENSG00000154188;ENSG00000046653;ENSG00000139567;ENSG00000102837;ENSG00000105894;ENSG00000095637;ENSG00000151882;ENSG00000113916;ENSG00000164741;ENSG00000285265;ENSG00000173801;ENSG00000122592;ENSG00000137077;ENSG00000164318;ENSG00000189058
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	315	30	11.135359365136623	2.694120505344995	7.420850708372839e-7	1.5769307755292283e-4	94;284;857;1001;1028;1910;2173;2246;2247;2252;2277;2719;3202;3815;3952;4781;5468;5727;5764;6422;6776;7049;7498;8626;8854;51162;55679;64102;84913;93986	ENSG00000138685;ENSG00000165197;ENSG00000164434;ENSG00000072163;ENSG00000147862;ENSG00000174697;ENSG00000168874;ENSG00000158125;ENSG00000104332;ENSG00000129757;ENSG00000273707;ENSG00000126561;ENSG00000136160;ENSG00000154188;ENSG00000172889;ENSG00000140285;ENSG00000128573;ENSG00000105974;ENSG00000139567;ENSG00000105894;ENSG00000106004;ENSG00000000005;ENSG00000113578;ENSG00000185920;ENSG00000128918;ENSG00000132170;ENSG00000157404;ENSG00000147257;ENSG00000069702;ENSG00000062038;ENSG00000073282
GO:0003012	muscle system process	http://amigo.geneontology.org/amigo/term/GO:0003012	292	28	10.322301379745694	2.712573385518591	1.533021322552841e-6	2.60613624833983e-4	59;72;274;287;477;857;1264;1410;1756;1908;1910;3728;3815;3952;4604;4629;4638;5021;5152;5348;6330;8470;10580;23336;25802;28999;80763;126393	ENSG00000177098;ENSG00000180914;ENSG00000160191;ENSG00000174697;ENSG00000109846;ENSG00000018625;ENSG00000266964;ENSG00000182253;ENSG00000136717;ENSG00000133392;ENSG00000276480;ENSG00000136160;ENSG00000163884;ENSG00000163431;ENSG00000198947;ENSG00000065534;ENSG00000105974;ENSG00000154556;ENSG00000134548;ENSG00000095637;ENSG00000004776;ENSG00000124205;ENSG00000130176;ENSG00000173801;ENSG00000157404;ENSG00000145362;ENSG00000163017;ENSG00000107796;ENSG00000196091
GO:0048732	gland development	http://amigo.geneontology.org/amigo/term/GO:0048732	347	31	12.26657047524574	2.5271937305181438	1.9106190444206916e-6	2.706710312929313e-4	301;857;1028;1036;1950;2001;2119;2252;2296;3200;3202;3205;3400;4781;5021;5105;5154;5727;5764;5906;5914;6422;6663;6776;7049;7498;8626;8854;25928;55679;55897	ENSG00000054598;ENSG00000072163;ENSG00000100146;ENSG00000180914;ENSG00000147862;ENSG00000166823;ENSG00000116473;ENSG00000158125;ENSG00000104332;ENSG00000129757;ENSG00000273707;ENSG00000126561;ENSG00000244405;ENSG00000197461;ENSG00000140285;ENSG00000105974;ENSG00000124253;ENSG00000171243;ENSG00000135374;ENSG00000131759;ENSG00000105894;ENSG00000106004;ENSG00000105997;ENSG00000172201;ENSG00000185920;ENSG00000128918;ENSG00000078399;ENSG00000129596;ENSG00000138798;ENSG00000069702;ENSG00000073282;ENSG00000135046
GO:0001570	vasculogenesis	http://amigo.geneontology.org/amigo/term/GO:0001570	65	12	2.2977725674091443	5.222448979591837	2.3786685349191927e-6	2.8883832209733055e-4	133;857;4435;4915;5906;7049;7498;8322;23462;51162;54922;55273	ENSG00000105538;ENSG00000166292;ENSG00000116473;ENSG00000158125;ENSG00000164683;ENSG00000174804;ENSG00000172889;ENSG00000105974;ENSG00000148926;ENSG00000148053;ENSG00000069702;ENSG00000125931
GO:0030856	regulation of epithelial cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030856	116	16	4.100640274145549	3.9018296973962	2.9977306463813136e-6	3.1850888117801457e-4	94;857;1028;2296;3204;4435;5727;7122;7498;8626;8842;9370;23764;55273;55897;84913	ENSG00000054598;ENSG00000166823;ENSG00000168874;ENSG00000166292;ENSG00000158125;ENSG00000184113;ENSG00000129757;ENSG00000273707;ENSG00000181092;ENSG00000105974;ENSG00000139567;ENSG00000185920;ENSG00000122592;ENSG00000185022;ENSG00000007062;ENSG00000073282;ENSG00000125931
GO:0019216	regulation of lipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0019216	325	29	11.48886283704572	2.5241836734693877	4.236931101853081e-6	4.001546040639021e-4	32;301;347;857;948;1149;2246;2247;3815;3952;4199;5140;5154;5166;5468;6366;7069;8644;9370;10580;27242;50486;51085;51129;57678;64788;83643;84649;85329	ENSG00000138685;ENSG00000167772;ENSG00000103227;ENSG00000260807;ENSG00000076555;ENSG00000174697;ENSG00000135218;ENSG00000009950;ENSG00000197461;ENSG00000181092;ENSG00000123689;ENSG00000119927;ENSG00000105974;ENSG00000151468;ENSG00000146072;ENSG00000062282;ENSG00000095637;ENSG00000196139;ENSG00000113578;ENSG00000176194;ENSG00000133317;ENSG00000132170;ENSG00000152270;ENSG00000004799;ENSG00000065833;ENSG00000157404;ENSG00000137077;ENSG00000151365;ENSG00000189058;ENSG00000135046
GO:0008544	epidermis development	http://amigo.geneontology.org/amigo/term/GO:0008544	245	24	8.660835061772929	2.7710953769262807	6.024679644056619e-6	4.859270890783024e-4	301;1001;1475;2012;2252;2296;3204;3728;3852;3854;3861;3866;3872;3914;5154;5317;5650;5727;8626;8644;23764;25928;51806;147495	ENSG00000054598;ENSG00000081277;ENSG00000169035;ENSG00000196878;ENSG00000154856;ENSG00000197461;ENSG00000140285;ENSG00000171243;ENSG00000171346;ENSG00000186081;ENSG00000196139;ENSG00000185920;ENSG00000134531;ENSG00000128422;ENSG00000173801;ENSG00000122592;ENSG00000185022;ENSG00000186847;ENSG00000121552;ENSG00000062038;ENSG00000073282;ENSG00000178372;ENSG00000185479;ENSG00000135046
