"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Gene.ID"
"8082165"	"1.18e-17"	"3.54e-22"	"13.017135"	"39.811036"	"0.9527094"	"KALRN"	"kalirin, RhoGEF kinase"	"8997"
"8171921"	"7.29e-17"	"4.38e-21"	"12.457115"	"37.373382"	"2.2392674"	"DMD"	"dystrophin"	"1756"
"7982392"	"2.84e-16"	"2.56e-20"	"12.068433"	"35.6604"	"1.0124844"	"RYR3"	"ryanodine receptor 3"	"6263"
"7951140"	"4.41e-16"	"5.30e-20"	"11.908964"	"34.952866"	"1.7575976"	"LOC100131541"	"uncharacterized LOC100131541"	"100131541"
"8132031"	"5.20e-16"	"7.81e-20"	"-11.824307"	"34.576185"	"-1.1451548"	"PRR15"	"proline rich 15"	"222171"
"7951133"	"7.76e-16"	"1.40e-19"	"11.697157"	"34.009062"	"1.7568308"	"MAML2///MAML2"	"mastermind like transcriptional coactivator 2///mastermind like transcriptional coactivator 2"	"84441///84441"
"8138888"	"1.96e-15"	"4.50e-19"	"11.443591"	"32.87337"	"1.4819667"	"PDE1C"	"phosphodiesterase 1C"	"5137"
"8169389"	"1.96e-15"	"4.71e-19"	"11.433481"	"32.82796"	"1.5943488"	"PAK3"	"p21 (RAC1) activated kinase 3"	"5063"
"8100994"	"6.12e-15"	"1.66e-18"	"11.162125"	"31.60575"	"2.1463116"	"CXCL2"	"C-X-C motif chemokine ligand 2"	"2920"
"8171359"	"6.54e-15"	"1.96e-18"	"11.125239"	"31.439113"	"1.9083931"	"GPM6B"	"glycoprotein M6B"	"2824"
"7894416"	"1.27e-14"	"4.21e-18"	"-10.96118"	"30.696603"	"-0.9221781"	""	""	""
"8132860"	"1.27e-14"	"4.56e-18"	"10.944131"	"30.619313"	"1.6894092"	"EGFR"	"epidermal growth factor receptor"	"1956"
"7991459"	"1.30e-14"	"5.07e-18"	"10.921256"	"30.51558"	"0.7812115"	"RGMA"	"repulsive guidance molecule family member a"	"56963"
"8058512"	"1.53e-14"	"6.44e-18"	"10.870142"	"30.283643"	"0.7465895"	"PLEKHM3"	"pleckstrin homology domain containing M3"	"389072"
"8171427"	"2.18e-14"	"9.81e-18"	"10.779864"	"29.873509"	"2.8224746"	"PIR-FIGF///FIGF"	"PIR-FIGF readthrough///c-fos induced growth factor"	"100532742///2277"
"8129082"	"2.74e-14"	"1.33e-17"	"-10.714605"	"29.57666"	"-2.505678"	"COL10A1"	"collagen type X alpha 1 chain"	"1300"
"8109157"	"2.74e-14"	"1.45e-17"	"10.69595"	"29.491747"	"1.6940677"	"CARMN///MIR143"	"cardiac mesoderm enhancer-associated non-coding RNA///microRNA 143"	"728264///406935"
"7920422"	"2.74e-14"	"1.48e-17"	"-10.69147"	"29.471354"	"-0.8111809"	"RAB13"	"RAB13, member RAS oncogene family"	"5872"
"8012830"	"2.80e-14"	"1.60e-17"	"10.67537"	"29.398045"	"0.9082274"	"TMEM220"	"transmembrane protein 220"	"388335"
"7928019"	"3.89e-14"	"2.34e-17"	"-10.594027"	"29.02739"	"-0.6129647"	"HK1"	"hexokinase 1"	"3098"
"7894698"	"3.95e-14"	"2.49e-17"	"-10.580596"	"28.966145"	"-1.5876781"	""	""	""
"8025255"	"4.76e-14"	"3.40e-17"	"-10.514428"	"28.664253"	"-0.9233822"	"STXBP2"	"syntaxin binding protein 2"	"6813"
"8040490"	"4.76e-14"	"3.41e-17"	"10.513295"	"28.659079"	"0.7592089"	"KLHL29"	"kelch like family member 29"	"114818"
"7968928"	"4.76e-14"	"3.46e-17"	"10.510683"	"28.647155"	"1.6205421"	"TPT1-AS1"	"TPT1 antisense RNA 1"	"100190939"
"8091537"	"4.76e-14"	"3.57e-17"	"10.503484"	"28.61429"	"1.9281839"	"IGSF10"	"immunoglobulin superfamily member 10"	"285313"
"7908351"	"5.10e-14"	"3.98e-17"	"10.48038"	"28.508794"	"1.1273386"	"PLA2G4A"	"phospholipase A2 group IVA"	"5321"
"8016646"	"5.71e-14"	"4.63e-17"	"-10.448207"	"28.361835"	"-2.20475"	"COL1A1"	"collagen type I alpha 1 chain"	"1277"
"7905428"	"6.72e-14"	"5.65e-17"	"-10.405829"	"28.168156"	"-1.4838134"	"TUFT1"	"tuftelin 1"	"7286"
"8131600"	"7.92e-14"	"6.90e-17"	"-10.363236"	"27.973394"	"-1.3672801"	"TSPAN13"	"tetraspanin 13"	"27075"
"7995580"	"8.76e-14"	"7.89e-17"	"-10.334675"	"27.842732"	"-0.8074439"	""	""	""
"7991386"	"1.01e-13"	"9.43e-17"	"-10.296807"	"27.66942"	"-0.7886392"	"CIB1"	"calcium and integrin binding 1"	"10519"
"8030991"	"1.04e-13"	"1.01e-16"	"-10.282126"	"27.602205"	"-0.7459735"	"TPM3P9"	"tropomyosin 3 pseudogene 9"	"147804"
"7963986"	"1.04e-13"	"1.04e-16"	"-10.276833"	"27.577972"	"-0.8727787"	"RAB13"	"RAB13, member RAS oncogene family"	"5872"
"7920409"	"1.06e-13"	"1.09e-16"	"-10.265106"	"27.524268"	"-0.720347"	"JTB"	"jumping translocation breakpoint"	"10899"
"7895694"	"1.06e-13"	"1.11e-16"	"-10.261648"	"27.508432"	"-1.2600189"	""	""	""
"7987385"	"1.12e-13"	"1.21e-16"	"10.243535"	"27.425472"	"1.0834872"	"MEIS2"	"Meis homeobox 2"	"4212"
