userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000004838	ZMYND10	zinc finger MYND-type containing 10	51364	https://www.ncbi.nlm.nih.gov/gene/?term=51364
ENSG00000013588	GPRC5A	G protein-coupled receptor class C group 5 member A	9052	https://www.ncbi.nlm.nih.gov/gene/?term=9052
ENSG00000025423	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6	8630	https://www.ncbi.nlm.nih.gov/gene/?term=8630
ENSG00000053108	FSTL4	follistatin like 4	23105	https://www.ncbi.nlm.nih.gov/gene/?term=23105
ENSG00000060718	COL11A1	collagen type XI alpha 1 chain	1301	https://www.ncbi.nlm.nih.gov/gene/?term=1301
ENSG00000066279	ASPM	abnormal spindle microtubule assembly	259266	https://www.ncbi.nlm.nih.gov/gene/?term=259266
ENSG00000072571	HMMR	hyaluronan mediated motility receptor	3161	https://www.ncbi.nlm.nih.gov/gene/?term=3161
ENSG00000074410	CA12	carbonic anhydrase 12	771	https://www.ncbi.nlm.nih.gov/gene/?term=771
ENSG00000075275	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1	9620	https://www.ncbi.nlm.nih.gov/gene/?term=9620
ENSG00000075461	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4	27092	https://www.ncbi.nlm.nih.gov/gene/?term=27092
ENSG00000076554	TPD52	tumor protein D52	7163	https://www.ncbi.nlm.nih.gov/gene/?term=7163
ENSG00000077152	UBE2T	ubiquitin conjugating enzyme E2 T	29089	https://www.ncbi.nlm.nih.gov/gene/?term=29089
ENSG00000078098	FAP	fibroblast activation protein alpha	2191	https://www.ncbi.nlm.nih.gov/gene/?term=2191
ENSG00000079462	PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3	5050	https://www.ncbi.nlm.nih.gov/gene/?term=5050
ENSG00000083307	GRHL2	grainyhead like transcription factor 2	79977	https://www.ncbi.nlm.nih.gov/gene/?term=79977
ENSG00000085831	TTC39A	tetratricopeptide repeat domain 39A	22996	https://www.ncbi.nlm.nih.gov/gene/?term=22996
ENSG00000088325	TPX2	TPX2, microtubule nucleation factor	22974	https://www.ncbi.nlm.nih.gov/gene/?term=22974
ENSG00000089685	BIRC5	baculoviral IAP repeat containing 5	332	https://www.ncbi.nlm.nih.gov/gene/?term=332
ENSG00000090889	KIF4A	kinesin family member 4A	24137	https://www.ncbi.nlm.nih.gov/gene/?term=24137
ENSG00000091831	ESR1	estrogen receptor 1	2099	https://www.ncbi.nlm.nih.gov/gene/?term=2099
ENSG00000099769	IGFALS	insulin like growth factor binding protein acid labile subunit	3483	https://www.ncbi.nlm.nih.gov/gene/?term=3483
ENSG00000099812	MISP	mitotic spindle positioning	126353	https://www.ncbi.nlm.nih.gov/gene/?term=126353
ENSG00000099953	MMP11	matrix metallopeptidase 11	4320	https://www.ncbi.nlm.nih.gov/gene/?term=4320
ENSG00000101115	SALL4	spalt like transcription factor 4	57167	https://www.ncbi.nlm.nih.gov/gene/?term=57167
ENSG00000101222	SPEF1	sperm flagellar 1	25876	https://www.ncbi.nlm.nih.gov/gene/?term=25876
ENSG00000101463	SYNDIG1	synapse differentiation inducing 1	79953	https://www.ncbi.nlm.nih.gov/gene/?term=79953
ENSG00000102313	ITIH6	inter-alpha-trypsin inhibitor heavy chain family member 6	347365	https://www.ncbi.nlm.nih.gov/gene/?term=347365
ENSG00000103253	HAGHL	hydroxyacylglutathione hydrolase like	84264	https://www.ncbi.nlm.nih.gov/gene/?term=84264
ENSG00000103460	TOX3	TOX high mobility group box family member 3	27324	https://www.ncbi.nlm.nih.gov/gene/?term=27324
ENSG00000103888	CEMIP	cell migration inducing hyaluronidase 1	57214	https://www.ncbi.nlm.nih.gov/gene/?term=57214
ENSG00000104413	ESRP1	epithelial splicing regulatory protein 1	54845	https://www.ncbi.nlm.nih.gov/gene/?term=54845
ENSG00000104415	CCN4	cellular communication network factor 4	8840	https://www.ncbi.nlm.nih.gov/gene/?term=8840
ENSG00000104549	SQLE	squalene epoxidase	6713	https://www.ncbi.nlm.nih.gov/gene/?term=6713
ENSG00000105289	TJP3	tight junction protein 3	27134	https://www.ncbi.nlm.nih.gov/gene/?term=27134
